# Density,Lx,Ly,Lz,lx,ly,lz,C00,C01,C02,C03,C04,C05,C11,C12,C13,C14,C15,C22,C23,C24,C25,C33,C34,C35,C44,C45,C55,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13,eig_14,eig_15,eig_16,eig_17,eig_18,eig_19,eig_20,eig_21,eig_22,eig_23,(omega^2)_0,(omega^2)_1,(omega^2)_2,(omega^2)_3,(omega^2)_4,(omega^2)_5,(omega^2)_6,(omega^2)_7,(omega^2)_8,(omega^2)_9,(omega^2)_10,(omega^2)_11,(omega^2)_12,(omega^2)_13,(omega^2)_14,(omega^2)_15,(omega^2)_16,(omega^2)_17,(omega^2)_18,(omega^2)_19,(omega^2)_20,(omega^2)_21,(omega^2)_22,(omega^2)_23
4.262647007556266132e+00,9.795465291689704757e-02,1.749637282243880487e-01,2.728556253376852037e-01,5.857645271190402569e-01,1.046275419027736353e+00,1.631664669194380579e+00,2.053535446552699817e+00,2.577186177530645939e-01,5.900344135777041421e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.649061723262612356e+00,7.370344593609140516e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.084409197753792409e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.163294880286728505e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.226142304379140291e-01,0.000000000000000000e+00,2.686849246982506156e-01,2.681170325314220504e-01,8.262086042672377451e-01,1.157741894672871474e+00,1.160701925926309608e+00,1.287340798845193035e+00,2.153294084684912235e+00,2.878663135992880928e+00,3.375031075127937541e+00,3.724355076620206262e+00,4.000313831494882066e+00,4.308215476162715163e+00,4.337696805188109295e+00,4.696958818650868395e+00,4.941799364978115783e+00,5.101724179161370998e+00,5.279468417493297316e+00,5.536906584732810721e+00,6.362645809084909843e+00,6.509724731899472872e+00,6.920245047991617326e+00,6.975535732971661851e+00,7.177748363873779347e+00,7.564550221503757221e+00,8.088122384118234365e+00,2.249267095039843678e+00,6.931166624034980295e+00,9.712440584809133526e+00,9.737272654729448362e+00,1.079966189244411900e+01,1.806425158781397400e+01,2.414946267441688121e+01,2.831355498137756754e+01,3.124407742766089413e+01,3.355912970564338593e+01,3.614215485447962095e+01,3.638947738624414541e+01,3.940337104958253178e+01,4.145736881013478126e+01,4.279899794434728477e+01,4.429011644151351135e+01,4.644979720894606601e+01,5.337702614656021183e+01,5.461088950218992721e+01,5.805479543428769773e+01,5.851863585954398417e+01,6.021502274177708358e+01,6.345995157920718555e+01,6.785226349661428458e+01
7.295803132705767524e+00,2.947642713606703491e-01,3.991990586669319496e-01,1.674032851936882171e-01,1.091437150859485339e+00,1.478132614939977163e+00,6.198518015528237113e-01,1.733553650330575957e+00,1.007700737796917989e-01,6.350142505547734517e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.402133502774223217e+00,3.184745880932543516e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.539238495582783806e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.306381815793949963e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.136209879411616552e-01,0.000000000000000000e+00,9.781564061260902831e-02,2.790793711827478374e-01,1.013108854196408837e+00,1.488417341875665878e+00,1.590359298277735922e+00,1.757659603629369016e+00,2.501688927037499788e+00,2.743880837320619381e+00,2.746873152462480316e+00,2.899789579198640332e+00,2.917798180135485087e+00,3.005547032714418254e+00,3.662682308699051426e+00,3.967577265213871662e+00,4.399196271332789898e+00,4.487230179904964089e+00,4.845950951271295715e+00,5.201517666736681811e+00,5.645615602020786383e+00,6.521045525999368486e+00,6.959907660517210104e+00,7.283227967680968362e+00,7.583657500484458858e+00,7.702298079135618813e+00,7.808001921117630140e+00,5.244479735588759572e-01,1.903841488986079300e+00,2.797044638048248544e+00,2.988614700103045863e+00,3.303006644393298608e+00,4.701191932241966853e+00,5.156320722385189015e+00,5.161943902650171445e+00,5.449305558174071251e+00,5.483147451352819779e+00,5.648045730011341803e+00,6.882939095234382521e+00,7.455899903533652839e+00,8.267001462739674622e+00,8.432435420683169980e+00,9.106546089699108393e+00,9.774729634045344895e+00,1.060928168722779397e+01,1.225439593439559083e+01,1.307910883289531689e+01,1.368669469344762391e+01,1.425126404519973278e+01,1.447421427900511759e+01,1.467285370366023756e+01
2.132211658490263062e+00,4.112663685560913884e-01,3.567644101039024185e-01,4.250189543978914464e-01,1.037095755461650670e+00,8.996574573251880924e-01,1.071775830210353497e+00,4.756875950752593063e+00,3.114039066820617485e-02,1.448526581101501065e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.018549886254521697e-01,7.917865038803192923e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.680490644454447846e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.920168973954603286e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.074914695237890738e-01,0.000000000000000000e+00,1.053067366484589096e-02,1.451648766930173917e-01,1.859271729414605223e-01,3.760276604503637876e-01,4.820324752307990068e-01,8.345549569066991191e-01,1.021811910855320527e+00,1.149689560127518551e+00,1.263667509645211906e+00,1.307879813143220771e+00,1.533366679396043653e+00,1.564141210644453439e+00,1.949048404615686403e+00,2.005202677944961653e+00,2.292455913273149459e+00,2.401277425461546322e+00,2.876025903891397562e+00,3.184046236793317775e+00,3.255300665168972429e+00,3.255694118290959338e+00,3.393409509842864047e+00,3.467148526933832464e+00,3.627577805578035886e+00,3.833744843372632882e+00,4.026581862823204183e+00,4.329348600557546556e-01,5.545029653984143714e-01,1.121452284208096950e+00,1.437597488872548901e+00,2.488948716164324892e+00,3.047417575843470949e+00,3.428795588577187470e+00,3.768719602898056298e+00,3.900576894163704011e+00,4.573061362235257832e+00,4.664842292187666217e+00,5.812776599387780685e+00,5.980249220996887161e+00,6.836943636825600912e+00,7.161489265379875846e+00,8.577363206466595003e+00,9.495992717661806637e+00,9.708499535288241944e+00,9.709672956684562095e+00,1.012039072207853252e+01,1.034030749376730540e+01,1.081876639430116249e+01,1.143363205388124371e+01,1.200874271378247293e+01
2.247201530104847578e+00,2.765395734422143037e-01,7.942864515405047288e-02,3.732245279126373827e-01,1.371478746177281938e+00,3.939208313315792909e-01,1.850981041204188049e+00,4.918907696630776094e+00,1.467061519759959853e-01,1.044489841927784823e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.859587685460231343e-01,2.236171461488472567e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.255346417111663060e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.011613692132359743e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.690792442402111462e-01,0.000000000000000000e+00,3.052584613767350685e-02,8.238474614195302748e-02,2.406947900594735013e-01,3.620239562658657539e-01,5.460432120989667792e-01,6.086699633843615231e-01,6.748599123563849833e-01,8.218812932936931936e-01,8.598435061096186827e-01,1.077887527992000827e+00,1.091291074413728746e+00,1.196972293104867413e+00,1.264554979973680826e+00,1.340992394102925589e+00,1.441671209817666943e+00,1.544232266755147576e+00,1.610938996738036089e+00,2.052125536844126685e+00,2.073174949118614663e+00,2.083550037551777478e+00,2.087475228915608216e+00,2.117609274902020999e+00,2.398952914160848771e+00,2.495477698557524437e+00,2.524542850038750785e+00,9.017130855203396855e-01,2.634439650262823562e+00,3.962405104390307020e+00,5.976522750471442436e+00,6.661981695023692751e+00,7.386440358951089635e+00,8.995610857747248446e+00,9.411112824488109041e+00,1.179763650706465050e+01,1.194434028132920034e+01,1.310103666324606486e+01,1.384073904697653923e+01,1.467735771452595195e+01,1.577930206485809705e+01,1.690184782042762990e+01,1.763196272803686782e+01,2.246081388069607598e+01,2.269120277402001662e+01,2.280475963304697373e+01,2.284772142611773305e+01,2.317754296296875438e+01,2.625689020779094918e+01,2.731336807831253566e+01,2.763149040860525929e+01
9.323549997101302722e+00,4.701876321239067957e-02,3.191902026250346691e-01,6.574904049064057843e-02,4.722817279592526063e-01,3.206117944074066362e+00,6.604186995373703128e-01,7.964038140682637712e-01,2.852769909907715284e-01,1.306748710937349900e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.493187036924427780e+00,2.521542700483364596e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.457512011236719918e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.415163429723286237e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.637231268986142629e-01,0.000000000000000000e+00,1.896455415579882398e-01,6.483851449325693517e-02,1.657517119092005997e-01,2.286689145734732975e-01,3.347694266250275663e-01,4.016757113643316668e-01,8.427727049279265525e-01,8.580350167593443489e-01,8.810489621812158667e-01,1.185357529062175841e+00,1.658631414103299617e+00,1.706821241522799681e+00,1.921468524770453268e+00,2.024059199903100126e+00,2.757242386892894803e+00,2.926345784177254217e+00,3.282706545176876656e+00,3.751759471634871446e+00,4.073603726015206483e+00,4.105964907806013642e+00,5.079363323938958175e+00,5.287083805173129036e+00,5.486039706893452994e+00,5.504224248268844377e+00,5.576626176936329671e+00,7.016356330497749427e-01,1.793645462475710328e+00,2.474490044836691993e+00,3.622633251417088918e+00,4.346644802498386362e+00,9.119878284698716087e+00,9.285036013979414804e+00,9.534076330390844234e+00,1.282708413037980044e+01,1.794851272158062727e+01,1.846998827252892639e+01,2.079274633756054058e+01,2.190290862080014733e+01,2.983688819398323488e+01,3.166680317787476895e+01,3.552308227513990602e+01,4.059883469731224181e+01,4.408160105817733410e+01,4.443179042401163770e+01,5.496520592945346095e+01,5.721300713969399254e+01,5.936596439270209657e+01,5.956274438217840128e+01,6.034622582760724185e+01
6.471915408040211481e+00,3.634868717977693398e-01,3.571171694363696192e-01,4.002417984988131949e-01,9.741251644783690544e-01,9.570547065281602706e-01,1.072626380879837082e+00,2.510310174293713281e+00,5.031902472189078712e-02,8.762265454596271375e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.175357641903036043e+00,1.434770774943565919e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.328256832672621734e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.561138274636533652e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.967077711796201944e-02,0.000000000000000000e+00,2.273215558029831329e-01,3.075773002423554114e-01,6.119849796334375647e-01,7.153140306547954852e-01,7.358397350412505533e-01,1.068654806518188671e+00,1.188201866845919996e+00,1.296213805860481516e+00,1.546378102876889260e+00,1.821920194475871169e+00,1.991583335009877054e+00,2.207464915806727213e+00,2.683947512922620682e+00,2.956403725279106887e+00,3.063280016147851281e+00,3.421382162286886963e+00,3.592240463284511520e+00,3.709188727233956762e+00,3.730678000090000612e+00,3.867271814153701026e+00,3.897548805870808319e+00,3.916656591022223743e+00,4.003458434848801595e+00,4.309088472495910871e+00,4.379598533950610495e+00,3.413292557844958552e-01,6.791410727806557190e-01,7.938089239460308644e-01,8.165870138673640977e-01,1.185923504471763090e+00,1.318589046111983354e+00,1.438453661383106486e+00,1.716069705405796952e+00,2.021848373040491698e+00,2.210129476512372015e+00,2.449700794853836072e+00,2.978470148572987419e+00,3.280824308402808587e+00,3.399428655324676640e+00,3.796827094481780129e+00,3.986434509197268383e+00,4.116216075872376479e+00,4.140063471325564848e+00,4.291646390033777791e+00,4.325245823548704571e+00,4.346450399049833990e+00,4.442777432061380871e+00,4.781945742639813979e+00,4.860193216633142299e+00
8.946713150852639629e+00,1.337285785451645670e-01,5.728509550893097491e-02,3.195967984438197185e-01,9.922051228620122343e-01,4.250293082148083879e-01,2.371262628497609271e+00,1.347747792402923306e+00,6.434303958663895040e-02,5.556876621467649047e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.541111706155525951e+00,1.971524781548834038e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.681136761459907980e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.524183082268775524e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.929453334506766149e-02,0.000000000000000000e+00,1.631535663930077928e-01,4.189759360416298734e-02,2.390568014750873160e-01,3.408400125150499727e-01,5.272736190872043816e-01,5.603679120802022018e-01,6.433871900090047946e-01,1.039740320636789006e+00,1.514304365215386250e+00,1.671175415733600733e+00,1.866212012902548123e+00,2.005265003010950231e+00,2.411800476749586419e+00,3.259516144138896898e+00,3.303889829120167487e+00,3.310880753246652652e+00,3.577462768443255392e+00,3.824130721221965512e+00,3.900931033518163726e+00,4.365910126846197947e+00,4.534999611805755393e+00,5.195527277502732133e+00,6.026875090639366661e+00,6.104371280712562964e+00,6.211842574941929485e+00,2.577982945734177966e-01,1.470930199684073569e+00,2.097208130350274313e+00,3.244344795991554342e+00,3.447975877392375654e+00,3.958798252275389284e+00,6.397581779798202639e+00,9.317601543082883353e+00,1.028283810711117852e+01,1.148290946692697112e+01,1.233851048411089302e+01,1.483994655233900772e+01,2.005598963588299100e+01,2.032902346260312498e+01,2.037203901939923156e+01,2.201233343656596375e+01,2.353009548641193405e+01,2.400265220935218835e+01,2.686369521828410711e+01,2.790411250966144152e+01,3.196837709115573034e+01,3.708370782945068100e+01,3.756054632823315842e+01,3.822182336074453701e+01
4.670344630883483283e+00,3.997748216860693704e-01,9.348520447930867838e-02,2.681983539837352049e-01,1.854146142811233133e+00,4.335821614882597874e-01,1.243897605782091631e+00,4.524052723203698889e+00,9.324793652323534743e-02,1.262206527127406608e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.557911848258128895e-01,2.533146341044454353e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.426247994748664372e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.033604913529615810e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.890562164455277805e-01,0.000000000000000000e+00,2.076908505309597031e-01,1.845325744670521517e-01,6.740740253975693319e-01,1.073985657781787673e+00,1.173935480823831146e+00,1.380685971253652777e+00,1.438860440908352523e+00,1.763437464236342622e+00,1.824587995927492656e+00,2.151628770009267999e+00,2.492330894186303158e+00,3.067955024612088355e+00,3.347708641548534647e+00,3.375400267515701991e+00,3.422049047698403346e+00,3.804726603055279988e+00,4.237795935752319387e+00,4.362730893257200648e+00,4.971183857762991209e+00,4.986789486006643735e+00,6.616689971733010545e+00,7.210549165054080056e+00,7.331594857234205342e+00,7.482736670169362725e+00,7.533340070518590892e+00,8.499260870843617921e-01,3.104671901240141363e+00,4.946597804422757427e+00,5.406949925170230209e+00,6.359208006656900558e+00,6.627149856515257120e+00,8.122097185957645848e+00,8.403746278392905111e+00,9.910041230572165460e+00,1.147925806992656561e+01,1.413048626753391090e+01,1.541898450518757890e+01,1.554652748978665144e+01,1.576138394709479407e+01,1.752393258209230709e+01,1.951857729150728105e+01,2.009400675093387889e+01,2.289643905206465391e+01,2.296831595828528805e+01,3.047536421884945668e+01,3.321058005765829080e+01,3.376809621332999001e+01,3.446423005329736355e+01,3.469730082779990710e+01
5.000869382904839178e+00,6.029123313367960868e-02,2.643435251432680322e-01,3.300688646776643587e-02,7.468700291881427145e-01,3.274609691623002306e+00,4.088795829558099504e-01,6.728719405720879898e-01,2.966628250093658048e-01,1.389554327730041505e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.762161716013053159e+00,2.326818677185905626e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.212992547307320201e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.666382779105430645e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.297463748771653713e-01,0.000000000000000000e+00,8.489439578884047655e-02,6.231390459433975432e-02,2.031221022810046906e-01,2.094634877801391237e-01,3.529154481487740691e-01,5.022276885982505101e-01,9.146356541732351131e-01,1.039413710052807360e+00,1.065937925490188398e+00,1.360604384232489972e+00,1.945678384132621952e+00,2.162998800379054121e+00,2.204611933933453560e+00,2.557208661614340794e+00,3.666584279349119235e+00,3.689327819656531116e+00,3.974373704000037311e+00,4.203567088129615215e+00,4.686192730752693159e+00,5.198884120556151345e+00,5.297209088457001336e+00,5.574580377213352200e+00,5.632492098592103424e+00,5.667774738497973530e+00,5.841557190984844716e+00,1.912146596747015703e+00,6.232946549075699672e+00,6.427536484977938613e+00,1.082946218039470487e+01,1.541121474889082776e+01,2.806624724892770928e+01,3.189515086926842002e+01,3.270906533362666124e+01,4.175111573838925239e+01,5.970452862492215473e+01,6.637316056244009133e+01,6.765008923869659441e+01,7.846977125426370492e+01,1.125117531485961706e+02,1.132096549006996185e+02,1.219564911198776969e+02,1.289894535431650411e+02,1.437991655336472832e+02,1.595314664153870581e+02,1.625486381681574528e+02,1.710599739492082563e+02,1.728370364149135128e+02,1.739197093794702766e+02,1.792523478533447587e+02
9.056229005427177015e+00,7.883683316846308575e-02,9.669813755455605730e-02,7.409088972546822027e-02,9.537293340967484268e-01,1.169806632659042833e+00,8.963152384559942565e-01,1.578104333203312892e+00,2.972352240279245716e-01,8.948051387797037459e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.200421840573190124e+00,1.329754356222174749e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.250550331101978330e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.369845387893260158e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.299275870309122283e-01,0.000000000000000000e+00,1.545209459411967801e-01,2.376335795690777131e-01,3.808801685126131931e-01,6.524231754535835259e-01,1.130878999959133990e+00,1.332185984224564246e+00,1.455767756864138729e+00,1.491848500492235052e+00,2.266994666134457326e+00,2.290717731921829703e+00,2.444717080908266116e+00,2.518969456802487628e+00,2.600163213880179569e+00,2.690754236458055004e+00,3.567530916555780252e+00,3.836940443716788884e+00,3.918848171042249362e+00,3.932406197323823793e+00,4.252064472334136980e+00,4.553594640800936233e+00,4.616317434578713019e+00,4.722065407927676262e+00,5.331260421174945918e+00,5.440511819552932948e+00,5.507991819489096663e+00,3.840186830364423987e+00,6.155068697452085402e+00,1.054323589597355948e+01,1.827513876723113384e+01,2.152828350897317122e+01,2.352537961224349772e+01,2.410844870862974432e+01,3.663490268161062602e+01,3.701827023840852604e+01,3.950691798312045222e+01,4.070684518427331255e+01,4.201894592863349231e+01,4.348290759803920480e+01,5.765172273850708251e+01,6.200541265074303254e+01,6.332905123898758148e+01,6.354815055174738347e+01,6.871386618898029042e+01,7.358662947438612889e+01,7.460023726107127118e+01,7.630913705262774727e+01,8.615380072027157610e+01,8.791931627582076203e+01,8.900980107825382959e+01
9.026368284832855693e+00,3.319823362537472899e-01,1.434691368352124241e-01,2.041659648856405662e-01,1.555354443445647661e+00,6.721603383843904878e-01,9.565281221544651435e-01,1.540945234898330574e+00,1.893036068959855212e-01,1.037543444661535308e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.993065272883883132e+00,2.639297482223768587e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.202242198661609862e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.386351295992571120e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.088333654605363798e-01,0.000000000000000000e+00,1.954254742670821221e-01,6.027718231343440758e-01,1.581058000964116195e+00,2.052603081818702435e+00,2.392183408547119416e+00,2.532502594684141073e+00,3.008357743430093656e+00,3.339706544864448734e+00,3.591350801739034981e+00,4.080872504965453729e+00,4.668660330605362674e+00,4.847680789234167342e+00,5.535212266936358816e+00,6.202780137317236431e+00,6.453301111488455533e+00,6.538828896583074979e+00,6.591582941770740334e+00,6.939172719062447037e+00,6.999066822134466292e+00,8.087341778452865171e+00,8.429950338183509473e+00,9.415633373312658705e+00,9.815439827909388626e+00,1.009725460038403710e+01,1.034320069070482617e+01,1.465779651651610394e+00,3.844709651230096892e+00,4.991381008160822752e+00,5.817149423199662550e+00,6.158368106426201471e+00,7.315520394233143264e+00,8.121271944158163336e+00,8.733203386579866390e+00,9.923589074981897795e+00,1.135293165743950361e+01,1.178826147117062284e+01,1.346015390410743251e+01,1.508350019029009559e+01,1.569270010999216325e+01,1.590068077901322319e+01,1.602896448938360052e+01,1.687420974326260392e+01,1.701985616230120968e+01,1.966624941618432487e+01,2.049938168292420215e+01,2.289629885857740987e+01,2.386852108804324857e+01,2.455381914474438432e+01,2.515189417207547251e+01
4.045706088975024706e+00,2.436873905833549653e-02,2.035883191048877827e-01,2.185336192839913150e-01,2.372092752641647428e-01,1.981761859385209545e+00,2.127241845674360476e+00,3.518960093710277182e+00,1.154022125156119738e-01,1.668568981417339336e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.565944495193889452e+00,5.789171140406401683e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.782784666604220636e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.558033268136313765e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.160959499724988409e-01,0.000000000000000000e+00,2.170426925977563259e-01,1.983821472770310249e-02,3.308968119176510236e-01,3.867571843297501477e-01,4.913023101059813547e-01,5.416014862957945208e-01,5.976690389204212250e-01,9.686590618473556180e-01,1.188459323286799041e+00,1.412611141789630986e+00,1.587788348300470886e+00,1.663635042326447655e+00,2.144872617015677552e+00,2.210023397165956638e+00,2.285727662254690706e+00,2.667998820798103132e+00,2.737542724492364687e+00,3.518320784933517409e+00,3.958157644583544243e+00,4.010034002664146335e+00,4.040348263141198437e+00,4.670930119664758351e+00,5.092852874366077032e+00,5.103579038613450969e+00,5.157485145257270531e+00,4.646281043898098928e-01,7.749888817123936846e+00,9.058186932684634485e+00,1.150672397492021837e+01,1.268477407701969462e+01,1.399792453190300989e+01,2.268683094137764655e+01,2.783474269748844776e+01,3.308457167434002599e+01,3.718737298537602243e+01,3.896376799638030519e+01,5.023476718446575262e+01,5.176065466457603037e+01,5.353371386698918144e+01,6.248683420542835876e+01,6.411561242911649572e+01,8.240210822277944658e+01,9.270346694608126370e+01,9.391845600878045275e+01,9.462844214285343014e+01,1.093972132586337267e+02,1.192790081886000877e+02,1.195302242092973302e+02,1.207927517345174806e+02
7.836360777473020178e+00,3.156944775886770249e-01,3.519054703090832015e-01,3.838390244438345533e-01,9.036209161756476593e-01,1.007268628570147762e+00,1.098672911801181318e+00,5.156649074504263686e-01,8.277868714707103948e-02,1.986250339278302635e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.294518708142703201e-01,3.798570228776781965e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.881445319190260701e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.136514071621977262e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.283545407125845361e-01,0.000000000000000000e+00,2.304928508906861628e-01,3.619395913383459673e-01,6.054296345767982146e-01,1.229146010726682059e+00,1.398692074039972644e+00,1.601401052993075114e+00,2.082616199046066985e+00,2.256779561744975737e+00,2.649452688613201712e+00,2.769742998413196489e+00,3.342777508916956908e+00,3.561841592081698149e+00,3.808967753324669303e+00,3.883225703295302367e+00,3.894572144565813687e+00,4.211321606176030130e+00,4.323721980255265329e+00,4.382377862487792264e+00,4.644722214328159460e+00,4.863647521560887199e+00,4.913487411358466339e+00,5.205536782264828410e+00,5.448655037484667396e+00,5.656442597210006085e+00,5.947539038407294143e+00,3.784079480511974847e-01,6.329768591008529954e-01,1.285072511836926390e+00,1.462332970360695095e+00,1.674265266834695565e+00,2.177375842043486553e+00,2.359463688418330207e+00,2.770003556807993039e+00,2.895767110702563762e+00,3.494874858159637832e+00,3.723906420845452647e+00,3.982276894326767458e+00,4.059913602626544993e+00,4.071776310276130850e+00,4.402937964548422123e+00,4.520452588351347778e+00,4.581777330291486372e+00,4.856058426470137412e+00,5.084944898878655195e+00,5.137052518163027770e+00,5.442390220417903990e+00,5.696570426985926971e+00,5.913812381134921914e+00,6.218153795101705406e+00
9.063280591861371249e+00,2.610286360113902027e-01,3.176388063784937182e-02,2.988402796831800962e-02,4.155926639878655848e+00,5.057236621464157311e-01,4.757938816145529937e-01,4.891703858925137816e+00,1.565427663779064005e-01,1.046020946522313311e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.503487452961204340e-01,1.132064487576478207e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.233293331489499822e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.706629830794367586e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.187891153055556259e-02,0.000000000000000000e+00,4.065061202605158019e-02,1.995799565370036041e-02,5.355633502056243722e-02,5.479187296986365308e-02,8.159547976528742919e-02,1.474251832592141653e-01,1.487520470942028106e-01,1.878240372349589959e-01,3.048105430542254468e-01,3.087602539008969527e-01,3.407202663033712664e-01,4.879477829233359598e-01,4.982883288780926012e-01,5.412181903034114505e-01,7.454940791317369309e-01,7.602740239403161793e-01,8.028327022269786672e-01,1.020705719061069994e+00,1.052288555921494506e+00,1.109080791814155420e+00,1.406065305727801418e+00,1.439649934681191734e+00,1.540958628385058482e+00,1.555536176783079760e+00,1.721902305785700804e+00,5.582014184370487353e-01,1.497907039038008037e+00,1.532463567048117481e+00,2.282128593138071704e+00,4.123307161527389297e+00,4.160417966019730684e+00,5.253215093354747012e+00,8.525188623131576549e+00,8.635657341297644507e+00,9.529540903849634148e+00,1.364731956440321525e+01,1.393653234506079919e+01,1.513722954716064528e+01,2.085058337662290739e+01,2.126396086701436516e+01,2.245427651787564827e+01,2.854792585752765177e+01,2.943126026844011278e+01,3.101967160901564569e+01,3.932597549828913230e+01,4.026529765492005453e+01,4.309878141284531949e+01,4.350649811618077933e+01,4.815956101891400465e+01
